epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.905,1.79924,4.06663,2.23373,0.1686,0.19218,0.151,0.04683,2.06987,3.54271,2.76505,0.000367394,0.000367394,0.000367394
2,35.2109,1.74181,3.58539,2.16984,0.30599,0.25336,0.17684,0.05281,2.17895,4.01183,2.70239,0.000719469,0.000719469,0.000719469
3,52.3628,1.66467,3.36643,2.10888,0.25814,0.31227,0.17272,0.0571,2.24054,3.11796,2.66419,0.00105321,0.00105321,0.00105321
4,69.4542,1.68517,3.17131,2.11991,0.29439,0.29116,0.19296,0.06853,2.19765,3.31283,2.7904,0.00102851,0.00102851,0.00102851
5,86.5164,1.67472,2.99432,2.13062,0.19308,0.28079,0.14449,0.04729,2.18276,3.18984,2.67191,0.00100101,0.00100101,0.00100101
6,103.368,1.64121,2.94704,2.11448,0.27791,0.32263,0.24131,0.08002,2.18239,2.86722,2.6361,0.000973514,0.000973514,0.000973514
7,120.196,1.59975,2.76557,2.08192,0.41667,0.39523,0.33576,0.11739,2.05978,2.944,2.61763,0.000946016,0.000946016,0.000946016
8,137.07,1.62011,2.70153,2.08722,0.6286,0.33106,0.36148,0.11096,2.1539,2.69859,2.61513,0.000918519,0.000918519,0.000918519
9,153.848,1.57306,2.62609,2.03099,0.43279,0.27877,0.27951,0.10726,1.9781,2.60382,2.41502,0.000891022,0.000891022,0.000891022
10,170.792,1.58819,2.44258,2.00709,0.4469,0.36169,0.36981,0.16098,1.83855,2.54495,2.39642,0.000863525,0.000863525,0.000863525
11,187.478,1.50373,2.43686,2.02427,0.61128,0.3971,0.45594,0.18391,1.80887,2.44513,2.36998,0.000836027,0.000836027,0.000836027
12,204.315,1.51231,2.3732,1.96404,0.49361,0.38542,0.41673,0.17215,1.90854,2.38289,2.35872,0.00080853,0.00080853,0.00080853
13,221.075,1.45023,2.26305,1.91672,0.50993,0.3917,0.40909,0.18275,1.83756,2.49581,2.3812,0.000781033,0.000781033,0.000781033
14,237.79,1.40877,2.10924,1.89176,0.57467,0.46263,0.46831,0.20771,1.76144,2.29071,2.31101,0.000753536,0.000753536,0.000753536
